,text,polarity
0,"Bromwell High cartoon comedy. It ran time programs school life, ""Teachers"". My 35 years teaching profession lead believe Bromwell High's satire much closer reality ""Teachers"". The scramble survive financially, insightful students see right pathetic teachers' pomp, pettiness whole situation, remind schools I knew students. When I saw episode student repeatedly tried burn school, I immediately recalled ......... .......... High. A classic line: INSPECTOR: I'm sack one teachers. STUDENT: Welcome Bromwell High. I expect many adults age think Bromwell High far fetched. What pity isn't!",1
1,"Homelessness (or Houselessness George Carlin stated) issue years never plan help street considered human everything going school, work, vote matter. Most people think homeless lost cause worrying things racism, war Iraq, pressuring kids succeed, technology, elections, inflation, worrying they'll next end streets.But given bet live streets month without luxuries home, entertainment sets, bathroom, pictures wall, computer, everything treasure see it's like homeless? That Goddard Bolt's lesson.Mel Brooks (who directs) stars Bolt plays rich man everything world deciding make bet sissy rival (Jeffery Tambor) see live streets thirty days without luxuries; Bolt succeeds, wants future project making buildings. The bet's Bolt thrown street bracelet leg monitor every move can't step sidewalk. He's given nickname Pepto vagrant it's written forehead Bolt meets characters including woman name Molly (Lesley Ann Warren) ex-dancer got divorce losing home, pals Sailor (Howard Morris) Fumes (Teddy Wilson) already used streets. They're survivors. Bolt isn't. He's used reaching mutual agreements like rich it's fight flight, kill killed.While love connection Molly Bolt wasn't necessary plot, I found ""Life Stinks"" one Mel Brooks' observant films prior comedy, shows tender side compared slapstick work Blazing Saddles, Young Frankenstein, Spaceballs matter, show it's like something valuable losing next day hand making stupid bet like rich people don't know money. Maybe give homeless instead using like Monopoly money.Or maybe film inspire help others.",1
2,"Brilliant over-acting Lesley Ann Warren. Best dramatic hobo lady I ever seen, love scenes clothes warehouse second none. The corn face classic, good anything Blazing Saddles. The take lawyers also superb. After accused turncoat, selling boss, dishonest lawyer Pepto Bolt shrugs indifferently ""I'm lawyer"" says. Three funny words. Jeffrey Tambor, favorite later Larry Sanders show, fantastic mad millionaire wants crush ghetto. His character malevolent usual. The hospital scene, scene homeless invade demolition site, all-time classics. Look legs scene two big diggers fighting (one bleeds). This movie gets better time I see (which quite often).",1
3,"This easily underrated film inn Brooks cannon. Sure, flawed. It give realistic view homelessness (unlike, say, Citizen Kane gave realistic view lounge singers, Titanic gave realistic view Italians YOU IDIOTS). Many jokes fall flat. But still, film lovable way many comedies not, pull story traditionally reviled members society truly impressive. Its The Fisher King, crap, either. My complaint Brooks cast someone else lead (I love Mel Director Writer, much lead).",1
4,"This typical Mel Brooks film. It much less slapstick movies actually plot followable. Leslie Ann Warren made movie, fantastic, under-rated actress. There moments could fleshed bit more, scenes could probably cut make room so, all, worth price rent see it. The acting good overall, Brooks good job without characteristic speaking directly audience. Again, Warren best actor movie, ""Fume"" ""Sailor"" played parts well.",1
5,"This isn't comedic Robin Williams, quirky/insane Robin Williams recent thriller fame. This hybrid classic drama without over-dramatization, mixed Robin's new love thriller. But isn't thriller, per se. This mystery/suspense vehicle Williams attempts locate sick boy keeper.Also starring Sandra Oh Rory Culkin, Suspense Drama plays pretty much like news report, William's character gets close achieving goal.I must say I highly entertained, though movie fails teach, guide, inspect, amuse. It felt like I watching guy (Williams), actually performing actions, third person perspective. In words, felt real, I able subscribe premise story.All all, it's worth watch, though it's definitely Friday/Saturday night fare.It rates 7.7/10 from...the Fiend :.",1
6,"Yes art... successfully make slow paced thriller.The story unfolds nice volumes don't even notice happening.Fine performance Robin Williams. The sexuality angles film seem unnecessary probably affect much enjoy film. However, core plot engaging. The movie doesn't rush onto still grips enough keep wondering. The direction good. Use lights achieve desired affects suspense unexpectedness good.Very nice 1 time watch looking lay back hear thrilling short story!",1
7,"In ""critically acclaimed psychological thriller based true events, Gabriel (Robin Williams), celebrated writer late-night talk show host, becomes captivated harrowing story young listener adoptive mother (Toni Collette). When troubling questions arise boy's (story), however, Gabriel finds drawn widening mystery hides deadly secretåÉ"" according film's official synopsis.You really STOP reading comments, watch film NOW...The ""How lose leg?"" ending, Ms. Collette planning new life, chopped off, sent ""deleted scenes"" land. It's overkill. The true nature physical mental ailments obvious, time Mr. Williams returns New York. Possibly, blindness could question - revelation could made certain either ""highway"" ""video tape"" scenes. The film would benefit re-editing - ""director's cut""? Williams Bobby Cannavale (as Jess) don't seem, initially, believable couple. A scene two establishing relationship might helped set stage. Otherwise, cast exemplary. Williams offers exceptionally strong characterization, ""gay impersonation"". Sandra Oh (as Anna), Joe Morton (as Ashe), Rory Culkin (Pete Logand) perfect.Best all, Collette's ""Donna"" belongs creepy hall fame. Ms. Oh correct saying Collette might be, ""you know, like guy 'Psycho'."" There several years organizations giving acting awards seemed reach women, due slighter dispersion roles; certainly, could noticed Collette award consideration. She good. And, director Patrick Stettner definitely evokes Hitchcock - even makes getting sandwich vending machine suspenseful.Finally, writers Stettner, Armistead Maupin, Terry Anderson deserve gratitude flight attendants everywhere.******* The Night Listener (1/21/06) Patrick Stettner ~ Robin Williams, Toni Collette, Sandra Oh, Rory Culkin",1
8,"THE NIGHT LISTENER (2006) **1/2 Robin Williams, Toni Collette, Bobby Cannavale, Rory Culkin, Joe Morton, Sandra Oh, John Cullum, Lisa Emery, Becky Ann Baker. (Dir: Patrick Stettner) Hitchcockian suspenser gives Williams stand-out low-key performance.What celebrities fans? What near paranoia one associates almost norm? In latest derange fan scenario, based true events less, Williams stars talk-radio personality named Gabriel No one, reads stories he's penned airwaves accumulated interesting fan form young boy named Pete Logand (Culkin) submitted manuscript travails troubled youth No one's editor Ashe (Morton) gives No one read himself. No one naturally disturbed ultimately intrigued nightmarish existence Pete abducted sexually abused years finally rescued nurse named Donna (Collette giving excellent performance) adopted boy correspondence No one reveals Pete dying AIDS. Naturally No one wants meet fans suddenly doubt possibly devious ulterior motives seed planted estranged lover Jess (Cannavale) whose sudden departure New York City apartment No one emotional tailspin grown tempest teacup decides investigating Donna Pete's backgrounds discovering truths didn't anticipate.Written Armistead Maupin (who co-wrote screenplay former lover Terry Anderson film's novice director Stettner) based true story fan's hoax found Hitchcockian moments run full tilt like good old fashioned pot-boiler does. It helps Williams gives stand-out, low-key performance conflicted good-hearted personality genuinely wants believe number one fan fact real love (the one thing escaped reality) unsettling dreadful moments creepy Collette whose one physical trait I leave unmentioned underlines desperation character rattle core.However film runs gas eventually becomes bit repetitive predictable despite finely directed piece hoodwink mystery Stettner, pays listen inner voice: careful hope for.",1
9,"You know, Robin Williams, God bless him, constantly shooting foot lately dumb comedies done decade (with perhaps exception ""Death To Smoochy"", bombed came cult classic). The dramas made lately fantastic, especially ""Insomnia"" ""One Hour Photo"". ""The Night Listener"", despite mediocre reviews quick DVD release, among best work, period.This chilling story, even though doesn't include serial killer anyone physically dangerous matter. The concept film based actual case fraud still yet officially confirmed. In high school, I read autobiography child named Anthony Godby Johnson, suffered horrific abuse eventually contracted AIDS result. I moved story I read reports online Johnson may actually exist. When I saw movie, confused feelings Robin Williams brilliantly portrayed resurfaced mind.Toni Collette probably gives best dramatic performance ultimately sociopathic ""caretaker"". Her role far cry movies like ""Little Miss Sunshine"". There even times looked camera I thought staring right me. It takes good actress play sort role, it's understated (yet well reviewed) role makes Toni Collette probably one best actresses generation even nominated Academy Award (as 2008). It's incredible least one woman world like this, it's scary too.This good, dark film I highly recommend. Be prepared unsettled, though, movie leaves strange feeling end.",1
10,"When I first read Armistead Maupins story I taken human drama displayed Gabriel No one cares loves. That said, given film version excellent story expected see past gloss Hollywood...Writer Armistead Maupin director Patrick Stettner truly succeeded! With right amount restraint Robin Williams captures fragile essence Gabriel lets us see struggle issues trust personnel life(Jess) world around him(Donna).As introduced players drama reminded nothing ever seems smallest event change lives irrevocably. The request review book written young man turns life changing event helps Gabriel find strength within carry move forward.It's bad people avoid film. I say average American probably think ""Robin Williams serious role? That didn't work before!"" PLEASE GIVE THIS MOVIE A CHANCE! Robin Williams touches darkness must find go better people. Like movie One Hour Photo stepped actor made another quality piece art.Oh I forget, I believe Bobby Cannavale Jess steals every scene in. He 1940's leading man looks screen presence. It's hacks opinion could carry movie right now!!S~",1
